Enhet,Kategori,Kökssvinn  (i kg),År,Månad
Algården,Föskola,,2023,maj
Annexet,Föskola,,2023,maj
Badparken,Föskola,1.8,2023,maj
Bergvik,Föskola,11.0,2023,maj
Björkbacken,Föskola,20.0,2023,maj
Björken,Föskola,31.0,2023,maj
Björkäng,Föskola,15.4,2023,maj
Blombacka fsk,Föskola,8.1,2023,maj
Blomman,Föskola,,2023,maj
Bofinken,Föskola,4.5,2023,maj
Brolunda,Föskola,5.2,2023,maj
Burspråket,Föskola,,2023,maj
Eken,Föskola,15.0,2023,maj
Fasaden,Föskola,8.0,2023,maj
Filen,Föskola,6.4,2023,maj
Folkparken,Föskola,,2023,maj
Glasberga,Föskola,4.0,2023,maj
Glasberg pav,Föskola,,2023,maj
Granö,Föskola,10.0,2023,maj
Grusåsen,Föskola,8.4,2023,maj
Gullpudran,Föskola,15.5,2023,maj
Hovsjö,Föskola,15.0,2023,maj
Hästhoven,Föskola,3.6,2023,maj
Högmohöjden,Föskola,,2023,maj
Hölö fsk,Föskola,5.5,2023,maj
Kaxberg,Föskola,,2023,maj
Körsbäret,Föskola,7.0,2023,maj
Lina fsk,Föskola,,2023,maj
Ljunbacken,Föskola,35.0,2023,maj
Lärkan,Föskola,2.6,2023,maj
Morellen,Föskola,5.0,2023,maj
Måsen,Föskola,8.0,2023,maj
Mölnboskogen,Föskola,28.0,2023,maj
Oxbacken,Föskola,4.4,2023,maj
Oxelgrenshagen,Föskola,8.0,2023,maj
Petunian,Föskola,0.8,2023,maj
Pumpan,Föskola,21.5,2023,maj
Pärlan,Föskola,5.4,2023,maj
Rubinen,Föskola,6.1,2023,maj
Rösberga,Föskola,18.4,2023,maj
Saltsjön 1-3,Föskola,8.0,2023,maj
Saltsjön 4-5,Föskola,20.0,2023,maj
Skeppet,Föskola,6.5,2023,maj
Skogsbrynet,Föskola,3.5,2023,maj
Solhem,Föskola,3.8,2023,maj
Sommaräng,Föskola,,2023,maj
Starrbäcken,Föskola,,2023,maj
Svingeln,Föskola,,2023,maj
Taket,Föskola,19.0,2023,maj
Trossen,Föskola,5.0,2023,maj
Trädgården,Föskola,18.0,2023,maj
Tygeln,Föskola,2.0,2023,maj
Vikingen 1,Föskola,4.0,2023,maj
Vikingen 2,Föskola,2.0,2023,maj
Valla fsk,Föskola,,2023,maj
Viksberg fsk,Föskola,3.0,2023,maj
Växthuset,Föskola,5.1,2023,maj
Årsboken,Föskola,12.0,2023,maj
Ängsviolen,Föskola,13.5,2023,maj
